GarageArea,GarageCars,GrLivArea,1stFlrSF,TotalBsmtSF,OverallQual,SalePrice
484,2,1358,1358,1358,7,224000
595,2,1640,798,798,7,183000
576,2,936,936,936,4,93000
433,2,1733,847,847,7,225000
240,1,1489,944,778,6,139500
776,2,1489,1489,1489,8,232600
1220,3,2084,2084,2078,10,385000
0,0,784,784,784,5,109500
527,2,1434,1434,1454,7,189000
538,2,2126,1160,1013,5,185000
480,2,1223,520,600,7,147400
458,2,1392,1392,1392,6,166000
480,2,1200,520,600,7,151000
613,2,1829,941,941,7,237000
472,2,1516,1516,1516,6,167000
456,2,1144,1144,1144,5,139950
436,2,1067,1067,1067,4,128000
812,2,1559,1559,1559,5,153500
264,1,987,483,483,6,100000
352,1,1099,1099,1099,5,144000
240,1,1200,768,768,5,130500
400,1,1482,810,672,6,140000
686,2,1539,958,650,5,157500
490,2,1165,1165,1127,6,174900
0,0,1800,1800,1800,5,141000
720,3,1416,876,876,5,153900
611,2,1701,1701,1390,5,171000
425,2,1775,1006,740,7,213000
338,1,864,864,864,5,133500
360,2,2358,1307,907,6,240000
512,2,1855,1094,528,6,187000
420,2,848,848,848,6,131500
400,2,1456,1456,1273,8,215000
240,1,1646,918,918,7,164000
645,2,1445,1445,1127,6,158000
454,2,1779,1779,1763,5,170000
260,1,1040,1040,1040,5,127000
576,2,1026,1026,940,6,147000
343,2,1481,702,702,6,174000
479,2,1370,1370,1090,7,152000
619,2,2654,1512,1054,6,250000
216,1,1426,912,912,7,189950
504,2,1039,1039,1039,5,131500
480,2,1097,1097,1040,6,152000
672,1,1148,1148,1148,5,132500
529,2,1372,1372,1372,7,250580
902,2,1002,1002,1002,5,148500
870,3,1646,1646,1638,8,248900
544,2,1120,1120,1040,4,129000
672,2,2320,1547,0,5,169000
574,2,1949,1062,1050,7,236000
308,1,894,894,894,5,109500
523,2,1682,804,804,6,200500
414,2,910,910,105,5,116000
288,1,1268,1036,832,5,133000
200,1,1131,676,676,5,66500
550,2,2610,1184,1184,8,303477
648,2,1040,1040,1064,4,132250
738,3,2224,1462,1462,9,350000
576,2,1155,1155,1109,5,148000
336,1,864,864,864,5,136500
450,2,1090,1090,1090,5,157000
400,2,1717,1187,1156,7,187500
389,2,1593,808,808,6,178000
440,1,2230,954,795,4,118500
288,1,892,892,892,5,100000
506,2,1709,1709,1698,9,328900
588,2,1712,1712,1626,5,145000
300,1,1393,872,816,5,135500
621,2,2217,2217,2217,8,268000
505,2,1505,1505,1505,6,149500
576,2,924,672,672,5,122900
440,2,1683,918,918,6,172500
264,1,1068,1068,1059,6,154500
354,1,1383,1383,1383,5,165000
400,2,1535,1535,0,5,118858
483,2,1796,983,780,6,140000
327,1,951,951,951,4,106500
528,2,2240,1120,0,5,142953
820,3,2364,2364,2330,9,611657
288,1,1236,1236,912,5,135000
684,1,858,858,858,4,110000
756,1,1306,1306,992,5,153000
393,2,1509,807,783,7,180000
690,3,1670,1670,1670,7,240000
288,1,902,902,876,5,125500
280,1,1063,1063,1056,5,128000
865,3,1636,1636,1623,8,255000
180,1,2057,1020,1017,7,250000
484,2,902,902,864,5,131000
390,2,1484,742,742,6,174000
480,2,2274,1105,1105,5,154300
252,1,1268,1268,1268,5,143500
450,1,1015,1015,768,5,88000
871,3,2002,1001,1001,5,145000
528,2,1224,612,612,6,173733
286,1,1092,546,546,4,75000
308,1,480,480,480,2,35311
284,1,1229,1229,1134,4,135000
833,3,2127,912,1104,7,238000
601,2,1414,1414,1184,6,176500
471,2,1721,936,928,6,201000
0,0,2200,1272,1272,5,145900
397,2,1316,1316,1316,6,169990
533,2,1617,1617,1604,6,193000
612,2,1686,1686,1686,6,207500
540,2,1126,1126,1126,5,175000
656,3,2374,1234,1181,8,285000
486,2,1978,1098,832,7,176000
522,2,1788,1788,1753,8,236500
642,2,2236,993,964,7,222000
610,3,1466,1466,1466,8,201000
429,1,925,925,925,5,117500
788,3,1905,1905,1905,9,320000
570,2,1500,1500,1500,7,190000
505,2,2069,2069,585,7,242000
528,2,747,747,600,4,79900
555,2,1200,1200,1176,7,184900
689,2,1971,1113,1113,7,253000
868,3,1962,1391,1391,7,239799
349,1,2403,1207,1032,7,244400
574,2,1728,1728,1728,6,150900
390,2,2060,1022,992,7,214000
0,0,1440,1440,1440,4,150000
576,2,1632,1632,1632,5,143000
525,2,1344,1344,819,6,137500
456,2,1869,1188,1088,5,124900
796,1,1144,1144,1144,5,143000
808,3,1629,1629,1616,8,270000
474,2,1776,936,936,7,192500
676,2,1381,1381,1161,6,197500
720,2,864,864,864,5,129000
300,1,965,965,828,5,119900
396,1,768,768,768,5,133900
530,2,1968,1168,784,5,172000
0,0,980,980,945,6,127500
492,2,1958,979,979,6,145000
462,2,1229,561,561,6,124000
576,2,1057,1057,1057,5,132000
531,2,1337,1337,1337,7,185000
484,2,1416,696,696,7,155000
0,0,858,858,858,5,116500
619,2,2872,1542,1330,6,272000
440,2,1548,804,804,6,155000
702,2,1800,1800,1800,9,239000
510,2,1894,824,817,7,214900
393,2,1484,783,783,6,178900
256,1,1308,976,728,5,160000
260,1,1098,1098,1098,5,135000
0,0,968,600,600,3,37900
264,1,1095,1095,588,6,140000
0,0,1192,720,720,4,135000
474,2,1626,764,764,7,173000
264,1,918,918,918,6,99500
480,2,1428,1428,1428,7,182000
532,2,2019,1136,728,7,167500
490,2,1382,673,673,7,165000
0,0,869,869,440,4,85500
569,2,1241,1241,1241,7,199900
400,2,894,894,894,4,110000
480,2,1121,1121,1121,5,139000
588,2,999,999,944,7,178400
676,3,2612,1276,1225,8,336000
388,2,1266,1266,1266,7,159895
779,2,2290,1149,1128,8,255900
539,2,1734,1302,0,5,126000
240,1,1164,1164,1164,5,125000
255,1,1635,1001,485,6,117000
606,3,1940,1940,1930,9,395192
551,2,2030,1118,848,6,195000
614,2,1576,778,770,7,197000
870,3,2392,1407,1396,8,348000
424,2,1742,916,916,8,168000
440,2,1851,1020,822,6,187000
564,2,1500,750,750,6,173900
786,3,1718,1718,1700,10,337500
305,1,1230,774,747,4,121600
368,1,1050,1050,1050,5,136500
615,2,1442,1442,1442,6,185000
210,1,1077,1077,1007,3,91000
632,2,1208,1208,1187,7,206000
528,2,944,944,0,3,82000
216,1,691,691,691,5,86000
824,3,1574,1574,1574,8,232000
528,2,1680,1680,1680,5,136905
457,2,1504,1504,1346,7,181000
328,1,985,985,985,5,149900
484,2,1657,1657,1657,6,163500
286,1,1092,546,546,4,88000
550,2,1710,1710,1710,7,240000
0,0,1522,1008,1008,5,102000
312,1,1271,720,720,5,135000
0,0,1664,1664,0,5,100000
180,1,1502,900,602,6,165000
280,1,1022,1022,1022,5,85000
240,1,1082,1082,1082,6,119200
528,2,1665,810,810,8,227000
478,2,1504,1504,1504,7,203000
565,2,1360,1360,1220,8,187500
402,2,1472,802,384,7,160000
440,2,1506,1506,1362,7,213490
451,2,1132,1132,1132,4,176000
632,2,1220,1220,1199,7,194000
160,1,1248,912,912,5,87000
437,2,1504,1504,1346,7,191000
665,2,2898,2898,1565,8,287000
461,2,882,882,882,5,112500
461,2,1264,1264,1268,5,167500
800,3,1646,1646,1638,8,293077
240,1,1376,968,768,5,105000
264,1,1218,672,672,6,118000
0,0,1928,948,686,5,160000
672,2,3082,1687,824,7,197000
796,3,2520,1352,1338,8,310000
900,3,1654,1654,1654,7,230000
240,1,954,954,920,5,119750
290,1,845,845,0,4,84000
912,3,1620,1620,1620,9,315500
905,2,2263,1055,1055,8,287000
0,0,1344,798,546,4,97000
286,1,630,630,630,4,80000
484,2,1803,1803,1134,5,155000
484,2,1632,800,800,6,173000
624,2,1306,1306,1306,6,196000
514,2,2329,1532,1475,7,262280
542,2,2524,2524,2524,8,278000
452,2,1733,1733,0,3,139600
716,3,2868,1992,1992,9,556581
672,2,990,990,990,5,145000
336,2,1771,1771,0,5,115000
308,1,930,930,0,4,84900
436,2,1302,1302,1302,7,176485
440,2,1316,1316,1316,7,200141
540,2,1977,1127,816,6,165000
364,1,1526,1526,1216,5,144500
586,2,1989,1091,1065,8,255000
478,2,1523,1523,1193,6,180000
484,2,1364,1364,1364,7,185850
467,2,1850,979,973,7,248000
836,3,2184,1130,1104,9,335000
432,2,1991,1096,854,6,220000
582,2,1338,1338,1338,8,213500
1248,3,894,894,894,3,81000
560,2,2337,1422,662,5,90000
440,2,1103,1103,1103,6,110500
480,2,1154,1154,1154,5,154000
533,2,2260,1306,1306,7,328000
380,2,1571,799,799,6,178000
442,2,1611,798,780,6,167900
576,2,2521,1291,942,6,151400
576,2,893,893,845,5,135000
286,1,1048,1048,1048,5,135000
441,2,1556,829,727,6,154000
280,1,1456,1002,810,5,91500
440,2,1426,698,690,6,159500
826,3,1240,1240,1240,7,194000
240,1,1740,960,800,7,219500
566,2,1466,1096,796,5,170000
299,1,1096,1096,1096,5,138800
420,2,848,848,848,6,155900
299,1,990,990,990,5,126000
528,2,1258,1258,1258,6,145000
308,1,1040,1040,1040,5,133000
527,2,1459,1459,1459,7,192000
461,1,1251,1251,1251,6,160000
409,2,1498,691,691,6,187500
564,2,996,996,936,6,147000
286,1,1092,546,546,4,83500
1043,3,1953,1082,1082,8,252000
380,2,1709,970,970,7,137500
550,2,1247,1247,1247,8,197000
400,2,1040,1040,0,3,92900
462,2,1252,624,600,7,160000
576,2,1694,1390,1181,6,136500
884,2,1200,1200,864,5,146000
308,1,936,936,936,5,129000
440,2,1314,1314,1314,6,176432
0,0,1355,773,684,6,127000
461,2,1088,1088,1074,8,170000
240,1,1324,757,672,4,128000
478,2,1601,1601,1271,7,157000
246,1,438,438,290,2,60000
280,1,950,950,950,5,119500
254,1,1134,1134,1010,5,135000
539,2,1194,1194,655,6,159500
440,2,1302,630,630,5,106000
712,2,2622,1500,1463,8,325000
719,2,1442,1442,910,7,179900
422,2,2021,887,868,7,274725
463,2,1690,948,924,6,181000
862,3,1836,1836,1836,8,280000
431,2,1658,773,773,6,188000
483,2,1964,1098,803,7,205000
308,1,816,816,816,5,129900
240,1,1008,1008,1008,5,134500
326,1,833,833,833,5,117000
928,3,1734,1734,1734,8,318000
527,2,1419,779,408,8,184100
450,2,894,894,894,5,130000
300,1,1601,1021,533,5,140000
286,1,1040,1040,1040,5,133700
308,1,1012,1012,1012,6,118400
782,3,1552,1552,1552,7,212900
288,1,960,960,672,4,112000
0,0,698,698,698,5,118000
392,2,1482,812,384,7,163900
672,2,1005,1005,1005,4,115000
660,3,1555,1555,1373,7,174000
630,3,1530,1530,1530,7,259000
434,2,1959,847,847,7,215000
672,2,936,936,936,5,140000
576,2,1981,1328,1122,4,135000
0,0,974,974,974,5,93500
205,1,2210,1178,1008,6,117500
466,2,2020,1142,1128,8,239500
460,2,1600,916,916,6,169000
180,1,986,986,960,6,102000
288,1,1252,1032,1032,6,119000
0,0,1020,780,780,5,94000
714,2,1567,1567,1567,6,196000
495,2,1167,1167,915,5,144000
840,2,952,952,952,5,139000
484,2,1868,1088,780,5,197500
1052,3,2828,1466,1466,8,424870
0,0,1006,1006,1006,5,80000
280,1,924,672,672,4,80000
225,1,1576,1042,1042,5,149000
403,2,1298,1298,1298,6,180000
234,1,1564,860,704,7,174500
288,1,1111,572,572,7,116900
324,2,1482,832,650,7,143000
306,1,932,932,932,6,124000
528,2,1466,1466,1466,5,149900
470,2,1811,1811,1073,6,230000
432,1,816,816,816,6,120500
492,2,1820,902,864,7,201800
528,2,1437,1437,1437,5,218000
502,2,1265,1265,1219,5,179900
626,2,1314,1314,1314,7,230000
830,3,1580,1580,1580,8,235128
540,2,1876,943,901,6,185000
440,2,1456,855,855,6,146000
924,2,1640,1640,1296,6,224000
450,2,894,894,894,5,129000
400,2,1258,1258,1198,4,108959
588,2,1432,1432,1360,5,194000
644,2,1502,1502,1502,7,233170
776,3,1694,1694,1694,8,245350
472,2,1671,959,959,6,173000
540,2,2108,1236,1127,6,235000
807,3,3627,1831,1930,10,625000
358,1,1118,1118,1096,6,171000
433,2,1261,1261,1261,6,163000
625,2,1250,625,625,7,171900
0,0,3086,1636,1598,5,200500
360,2,2345,1170,952,6,239000
541,2,2872,2129,1683,8,285000
264,1,923,923,876,5,119500
210,1,1224,818,818,6,115000
186,1,1343,820,731,5,154900
0,0,1124,1124,0,5,93000
693,2,2514,1298,1216,7,250000
482,2,1652,1652,1600,8,392500
813,3,4476,2411,2396,10,745000
720,2,1130,1130,1120,5,120000
995,3,1572,1572,1572,5,186700
392,1,1221,949,784,5,104900
420,2,1699,1014,978,3,95000
757,3,1624,1624,1624,8,262000
493,2,1660,831,831,7,195000
442,2,1804,1028,994,7,189000
1356,4,1622,1622,1249,4,168000
492,2,1441,764,776,8,174000
250,1,1472,842,702,5,125000
402,2,1224,1224,1224,6,165000
299,1,1352,663,663,6,158000
400,2,1456,728,728,6,176000
660,3,1863,879,879,7,219210
225,1,1690,815,815,7,144000
573,2,1212,1212,1212,7,178000
459,2,1382,1382,1051,4,148000
280,1,864,864,864,4,116050
546,2,1779,866,866,7,197900
216,1,1348,884,884,5,117000
451,2,1630,1630,1630,7,213000
495,2,1074,1074,1056,5,153500
701,3,2196,2196,2158,7,271900
384,1,1056,1056,1056,4,107000
544,2,1700,1700,1682,6,200000
506,2,1283,1283,931,5,140000
500,2,1660,1660,1660,8,290000
462,2,1845,1055,1055,6,189000
492,2,1752,1080,559,8,164000
234,1,672,672,672,4,113000
364,1,960,960,648,4,145000
300,1,999,999,925,5,134500
384,1,894,894,894,5,125000
539,2,1902,1318,0,6,112000
552,2,1314,1314,1300,8,229456
0,0,912,672,0,4,80500
0,0,1218,672,672,6,91500
288,1,912,912,912,5,115000
322,1,1211,1211,952,5,134000
315,1,1846,1168,1040,6,143000
528,2,2136,2136,2136,5,137900
388,2,1490,788,788,7,184000
264,1,1138,1138,588,6,145000
668,3,1933,894,894,6,214000
576,2,912,912,912,5,147000
1052,3,1702,1702,1702,9,367294
404,1,1507,1507,1075,5,127000
600,2,2620,1361,1361,5,190000
540,2,1190,1190,1106,5,132500
462,2,1224,1224,0,4,101800
531,2,1188,1188,1188,5,142000
0,0,1964,1024,940,5,130000
180,1,1784,892,747,5,138887
474,2,1626,764,764,7,175500
434,2,1948,847,847,7,195000
484,2,1141,1141,1141,6,142500
472,2,1484,1484,1476,8,265900
543,2,1768,884,884,7,224900
954,3,1689,1689,1689,7,248328
528,2,1173,1173,1053,7,170000
850,3,2076,2076,2076,10,465000
400,2,1517,792,792,8,230000
477,2,1868,1140,585,6,178000
615,2,1553,756,756,7,186500
888,3,1034,1034,1012,6,169900
396,2,2058,1134,735,6,129500
276,1,988,988,876,5,119000
522,2,2110,2110,2110,7,244000
478,2,1405,1405,1405,7,171750
288,1,874,874,864,5,130000
518,2,2167,1516,1192,7,294000
397,2,1656,760,746,7,165400
560,1,1367,959,884,6,127500
691,2,1987,1987,1986,8,301500
0,0,864,864,864,5,99900
400,2,1166,1166,856,7,190000
460,2,1054,1054,1054,6,151000
502,2,1675,892,841,6,181000
338,1,1050,1050,1050,5,128900
304,1,1788,1104,1104,4,161500
520,2,1824,1060,764,6,180500
511,2,1337,1337,1405,6,181000
506,2,1452,713,691,7,183900
308,1,1889,964,925,7,122000
746,3,2018,2018,2002,9,378500
1014,3,3447,1968,728,8,381000
315,1,1524,874,874,5,144000
586,2,1524,1332,1332,7,260000
462,2,1489,1489,1489,6,185750
288,1,935,935,935,5,137000
312,1,1357,1357,1019,6,177000
552,2,1250,661,661,5,139000
400,2,1920,928,928,5,137000
497,2,1395,735,723,6,162000
480,2,1724,1724,1680,6,197900
577,2,2031,1128,1128,8,237000
528,2,1128,698,698,4,68400
544,2,1573,1573,1573,7,227000
484,2,1339,1339,1309,7,180000
484,2,1040,1040,1040,5,150500
0,0,1824,912,912,6,139000
336,1,2447,1699,804,6,169000
280,1,1412,825,780,6,132500
528,2,1328,1328,1328,6,143000
390,2,1582,1582,1624,5,190000
499,2,1659,1659,1501,8,278000
753,3,1970,1120,1085,8,281000
484,2,1152,1152,1152,5,180500
264,1,1302,630,630,5,119500
432,1,2372,1378,994,5,107500
528,2,1664,832,832,7,162900
572,2,864,864,864,5,115000
288,1,1052,1052,1052,5,138500
525,2,1128,1128,1120,5,155000
525,2,1072,1072,547,6,140000
1418,2,5642,4692,6110,10,160000
305,1,1246,1246,1246,5,154000
490,2,1983,1005,978,7,225000
213,1,1494,753,771,6,177500
844,3,2526,1203,1165,8,290000
834,3,1616,1616,1616,7,232000
380,2,1708,976,976,7,130000
840,2,1652,1652,1652,9,325000
474,2,1368,1368,1368,7,202500
480,2,990,990,990,5,138000
528,2,1122,1122,924,5,147000
496,2,1294,1294,1278,6,179200
567,2,1902,1902,1902,7,335000
508,2,1274,1274,1274,7,203000
750,2,2810,1453,1453,8,302000
779,3,2599,1422,1393,9,333168
280,1,948,948,948,4,119000
576,2,2112,1092,952,6,206900
860,3,1630,1630,1622,8,295493
466,2,1352,1352,1352,7,208900
748,3,1787,1787,1753,8,275000
248,1,948,948,864,4,111000
442,2,1478,1478,1478,6,156500
287,1,720,720,0,3,72500
564,2,1923,1061,750,7,190000
0,0,708,708,420,4,82500
895,3,1795,1795,1795,8,147000
0,0,796,796,796,4,55000
0,0,774,774,544,3,79000
264,1,816,816,816,5,130500
520,2,2792,1584,1510,6,256000
462,2,1632,955,935,7,176500
825,3,1588,1588,1588,8,227000
576,2,954,954,911,5,132500
288,1,816,816,816,4,100000
297,1,1360,803,803,5,125500
440,2,1365,765,765,5,125000
630,2,1334,1334,1350,6,167900
506,2,1656,1656,1656,5,135000
0,0,693,693,693,4,52500
492,2,1861,920,916,7,200000
288,1,864,864,864,5,128500
480,4,872,872,858,4,123000
576,2,1114,1114,1114,6,155000
647,2,2169,1284,1284,8,228500
342,2,1913,1172,896,6,177000
440,2,1456,728,728,7,155835
308,1,960,960,960,4,108500
508,2,2156,2156,1568,7,262500
712,3,1776,1776,1732,8,283463
514,2,1494,1494,1482,7,215000
0,0,2358,938,684,8,122000
968,4,2634,1338,1248,5,200000
490,2,1716,858,858,6,171000
624,2,1176,786,698,6,134900
666,3,3238,2053,2033,8,410000
839,3,1865,992,992,7,235000
487,2,1920,1222,570,7,170000
264,1,892,892,864,5,110000
500,2,1078,1078,1078,5,149900
440,2,1573,769,756,6,177500
770,3,1980,1980,1980,9,315000
621,2,2601,990,612,5,189000
430,2,1530,1530,1530,7,260000
368,1,1738,1281,715,4,104900
432,2,1412,616,616,6,156932
480,2,1200,520,600,7,144152
663,2,1674,814,814,7,216000
588,2,1790,882,873,7,193000
336,1,1475,925,757,5,127000
420,2,848,848,848,6,144000
502,2,1668,1668,1657,8,232000
338,1,1374,840,840,4,105000
377,1,1661,1661,992,6,165500
583,2,2097,1108,1108,7,274300
804,3,2633,2633,2633,10,466500
936,3,1958,1026,1026,7,250000
722,3,1571,1571,1571,8,239000
160,1,790,790,768,6,91000
660,2,1604,984,984,5,117000
264,1,987,483,483,6,83000
400,2,1394,754,384,5,167500
200,1,864,864,864,3,58500
550,2,2117,2117,1205,6,237500
576,2,1762,998,596,7,157000
576,2,1416,1416,816,5,112000
280,1,1258,698,560,6,105000
240,1,1154,796,796,4,125500
564,2,2784,1392,1392,7,250000
216,1,2526,1664,714,6,136000
758,3,1746,1746,1746,9,377500
440,2,1218,869,735,6,131000
541,2,1525,1525,1525,7,235000
792,3,1584,1584,1584,5,124000
288,1,900,900,864,5,123000
672,2,1912,1221,482,6,163000
648,3,1500,1500,1356,7,246578
642,3,2482,1133,1094,8,281213
572,2,1687,1687,747,5,160000
180,1,1513,939,939,5,137500
240,1,1904,1136,1208,5,138000
216,1,1608,1160,976,6,137450
208,1,1158,950,862,6,120000
398,2,1593,864,839,6,193000
662,2,1294,1294,1286,7,193879
754,3,1464,1464,1485,8,282922
936,3,1214,694,672,3,105000
482,2,1646,1646,1594,8,275000
396,2,768,768,768,5,133000
0,0,833,833,833,5,112000
528,2,1363,741,622,4,125500
542,2,2093,1236,791,7,215000
622,2,1840,944,944,7,230000
271,1,1668,1112,856,6,140000
420,2,1040,1040,0,4,90000
620,2,1844,1844,1844,8,257000
370,2,1848,1053,833,6,207000
660,3,1569,1569,1386,7,175900
560,2,2290,1246,777,4,122500
1069,3,2450,1310,1284,8,340000
336,1,1144,1144,1144,5,124000
540,2,1844,1844,1844,6,223000
776,2,1416,708,708,6,179900
440,2,1069,1069,1069,6,127500
420,2,848,848,848,6,136500
432,2,2201,1575,697,6,274970
484,1,1344,1344,1024,5,144000
528,2,1252,1252,1252,6,142000
525,2,2127,1223,1223,7,271000
288,1,1558,1048,913,5,140000
240,1,804,804,788,5,119000
467,2,1440,1440,1440,6,182900
372,2,1838,734,732,5,192140
440,2,958,958,958,6,143750
216,1,968,968,656,4,64500
451,2,1792,962,936,6,186500
484,2,1126,1126,1126,5,160000
462,2,1537,1537,1319,6,174000
528,2,864,864,864,4,120500
774,3,1932,1932,1932,8,394617
923,2,1236,1236,912,6,149700
550,2,1725,1040,539,7,197000
672,2,2555,1423,588,6,191000
420,2,848,848,848,6,149300
812,3,2007,1026,1017,10,310000
192,1,952,952,952,6,121000
626,2,1422,1422,1422,7,179600
240,1,913,913,814,6,129000
312,1,1188,1188,1188,5,157900
556,2,2090,1220,1220,8,240000
384,1,1346,796,560,4,112000
0,0,630,630,630,5,92000
0,0,1792,896,896,5,136000
840,3,1578,1578,1573,8,287090
525,2,1072,1072,547,5,145000
0,0,1140,1140,1140,5,84500
400,2,1221,1221,1221,7,185000
460,2,1647,953,953,6,175000
500,2,2073,2073,1542,6,210000
252,1,2340,1188,1152,7,266500
240,1,1078,1078,1078,5,142125
276,1,1256,1256,1256,5,147500
